Case,ID,size,pixel_num_lung,pixel_num_fibrosis
1_0000,1_0000_242,256,91788,2276
1_0000,1_0000_243,256,91992,2236
1_0000,1_0000_244,256,92256,2956
1_0000,1_0000_245,256,92004,3028
1_0000,1_0000_246,256,92247,1912
1_0000,1_0000_247,256,92310,2584
1_0000,1_0000_248,256,92703,2928
1_0000,1_0000_249,256,92862,2796
1_0000,1_0000_250,256,92844,2836
1_0000,1_0000_251,256,92853,2412
1_0000,1_0000_252,256,92535,3336
1_0000,1_0000_253,256,92331,1888
1_0000,1_0000_254,256,92322,2036
1_0000,1_0000_255,256,92772,2076
1_0000,1_0000_256,256,92874,2248
1_0000,1_0000_257,256,92460,2332
1_0000,1_0000_258,256,92640,2184
1_0000,1_0000_259,256,92430,2124
1_0000,1_0000_260,256,91842,2280
1_0000,1_0000_261,256,91710,2644
1_0000,1_0000_262,256,91359,2688
1_0000,1_0000_263,256,91476,2860
1_0000,1_0000_264,256,91614,2900
1_0000,1_0000_265,256,91644,2196
1_0000,1_0000_266,256,91608,1784
1_0000,1_0000_267,256,91629,2088
1_0000,1_0000_268,256,91836,1828
1_0000,1_0000_269,256,91839,1552
1_0000,1_0000_270,256,91620,2356
1_0000,1_0000_271,256,91578,1616
1_0000,1_0000_272,256,91254,1748
1_0000,1_0000_273,256,91284,1564
1_0000,1_0000_274,256,90954,1448
1_0000,1_0000_275,256,90741,1676
1_0000,1_0000_276,256,90699,1724
1_0000,1_0000_277,256,90369,1180
1_0000,1_0000_278,256,90147,1032
1_0000,1_0000_279,256,90135,616
1_0000,1_0000_280,256,90030,392
1_0000,1_0000_281,256,90003,644
1_0000,1_0000_282,256,89919,784
1_0000,1_0000_283,256,90036,1300
1_0000,1_0000_284,256,90066,1384
1_0000,1_0000_285,256,90669,992
1_0000,1_0000_286,256,90789,1144
1_0000,1_0000_287,256,90723,816
1_0000,1_0000_288,256,90594,1092
1_0000,1_0000_289,256,90429,1276
1_0000,1_0000_290,256,90333,828
1_0000,1_0000_291,256,90177,616
1_0000,1_0000_292,256,90045,420
1_0000,1_0000_293,256,89523,1284
1_0000,1_0000_294,256,89169,1168
1_0000,1_0000_295,256,88977,992
1_0000,1_0000_296,256,88473,812
1_0000,1_0000_297,256,88335,792
1_0000,1_0000_298,256,88056,812
1_0000,1_0000_299,256,87615,1300
1_0000,1_0000_300,256,87465,1264
1_0000,1_0000_301,256,87003,1036
1_0000,1_0000_302,256,86748,860
1_0000,1_0000_303,256,86487,856
1_0000,1_0000_304,256,86523,924
1_0000,1_0000_305,256,86166,1000
1_0000,1_0000_306,256,85764,1040
1_0000,1_0000_307,256,85467,1124
1_0000,1_0000_308,256,84951,972
1_0000,1_0000_309,256,84417,908
1_0000,1_0000_310,256,84036,1052
1_0000,1_0000_311,256,83391,1212
1_0000,1_0000_312,256,82884,972
1_0000,1_0000_313,256,82296,772
1_0000,1_0000_314,256,81654,1052
1_0000,1_0000_315,256,81153,124
