Case,ID,size,pixel_num_lung,pixel_num_fibrosis
1_0000,1_0000_299,256,51387,852
1_0000,1_0000_300,256,51198,568
1_0000,1_0000_301,256,50949,236
1_0000,1_0000_302,256,50772,176
1_0000,1_0000_303,256,50685,268
1_0000,1_0000_304,256,50619,360
1_0000,1_0000_305,256,50469,492
1_0000,1_0000_306,256,50205,552
1_0000,1_0000_307,256,50028,352
1_0000,1_0000_308,256,49800,636
1_0000,1_0000_309,256,49506,716
1_0000,1_0000_310,256,49275,604
1_0000,1_0000_311,256,48957,692
1_0000,1_0000_312,256,48561,624
1_0000,1_0000_313,256,48210,756
1_0000,1_0000_314,256,47901,1396
1_0000,1_0000_315,256,47517,1756
1_0000,1_0000_316,256,46926,1424
1_0000,1_0000_317,256,46680,1408
1_0000,1_0000_318,256,46278,1168
1_0000,1_0000_319,256,46092,1268
1_0000,1_0000_320,256,45771,1596
1_0000,1_0000_321,256,45492,1588
1_0000,1_0000_322,256,45237,1696
1_0000,1_0000_323,256,44892,1488
1_0000,1_0000_324,256,44547,1448
1_0000,1_0000_325,256,44097,1816
1_0000,1_0000_326,256,43773,1940
1_0000,1_0000_327,256,43443,1760
1_0000,1_0000_328,256,43173,1760
1_0000,1_0000_329,256,42891,2124
1_0000,1_0000_330,256,42648,2156
1_0000,1_0000_331,256,42321,2088
1_0000,1_0000_332,256,41931,2280
1_0000,1_0000_333,256,41655,2344
1_0000,1_0000_334,256,41418,2312
1_0000,1_0000_335,256,40977,2352
1_0000,1_0000_336,256,40728,2444
1_0000,1_0000_337,256,40437,2292
1_0000,1_0000_338,256,40197,2396
1_0000,1_0000_339,256,39969,2260
1_0000,1_0000_340,256,39726,1956
1_0000,1_0000_341,256,39393,1856
1_0000,1_0000_342,256,39144,1712
1_0000,1_0000_343,256,38823,2052
1_0000,1_0000_344,256,38490,1672
1_0000,1_0000_345,256,38025,1396
1_0000,1_0000_346,256,37626,1420
1_0000,1_0000_347,256,37182,1544
1_0000,1_0000_348,256,36675,1540
1_0000,1_0000_349,256,36108,1736
1_0000,1_0000_350,256,35517,1756
1_0000,1_0000_351,256,35052,1708
1_0000,1_0000_352,256,34473,1560
1_0000,1_0000_353,256,34017,1212
1_0000,1_0000_354,256,33474,940
1_0000,1_0000_355,256,33030,860
1_0000,1_0000_356,256,32343,1168
1_0000,1_0000_357,256,31779,1316
1_0000,1_0000_358,256,31164,1140
1_0000,1_0000_359,256,30612,1084
1_0000,1_0000_360,256,30033,1100
1_0000,1_0000_361,256,29508,1412
1_0000,1_0000_362,256,28941,1340
1_0000,1_0000_363,256,28296,1296
1_0000,1_0000_364,256,27585,1516
1_0000,1_0000_365,256,27009,1432
1_0000,1_0000_366,256,26412,1712
1_0000,1_0000_367,256,25725,1992
1_0000,1_0000_368,256,25107,1892
1_0000,1_0000_369,256,24600,2060
1_0000,1_0000_370,256,23973,1936
1_0000,1_0000_371,256,23211,1716
1_0000,1_0000_372,256,22578,1808
1_0000,1_0000_373,256,21888,1824
1_0000,1_0000_374,256,21297,1912
1_0000,1_0000_375,256,20694,2024
1_0000,1_0000_376,256,20070,1756
1_0000,1_0000_377,256,19422,1604
1_0000,1_0000_378,256,18771,1688
1_0000,1_0000_379,256,18162,1908
1_0000,1_0000_380,256,17535,1824
1_0000,1_0000_381,256,16773,1656
1_0000,1_0000_382,256,15999,1820
1_0000,1_0000_383,256,15288,1716
1_0000,1_0000_384,256,14529,1576
1_0000,1_0000_385,256,13800,1716
1_0000,1_0000_386,256,13050,1696
1_0000,1_0000_387,256,12378,1720
1_0000,1_0000_388,256,11688,1772
1_0000,1_0000_389,256,10965,1804
1_0000,1_0000_390,256,10209,1936
1_0000,1_0000_391,256,9405,1784
1_0000,1_0000_392,256,8679,2068
1_0000,1_0000_393,256,7683,2052
1_0000,1_0000_394,256,6819,1576
1_0000,1_0000_395,256,6090,1240
1_0000,1_0000_396,256,5463,1404
1_0000,1_0000_397,256,4860,1408
1_0000,1_0000_398,256,3810,1308
1_0000,1_0000_399,256,3249,1148
1_0000,1_0000_400,256,2256,860
1_0000,1_0000_401,256,666,292
1_0000,1_0000_402,256,234,92
1_0000,1_0000_403,256,0,0
1_0000,1_0000_404,256,0,0
1_0000,1_0000_405,256,0,0
1_0000,1_0000_406,256,0,0
1_0000,1_0000_407,256,0,0
1_0000,1_0000_408,256,0,0
1_0000,1_0000_409,256,0,0
1_0000,1_0000_410,256,0,0
1_0000,1_0000_411,256,0,0
1_0000,1_0000_412,256,0,0
1_0000,1_0000_413,256,0,0
1_0000,1_0000_414,256,0,0
1_0000,1_0000_415,256,0,0
1_0000,1_0000_416,256,0,0
1_0000,1_0000_417,256,0,0
1_0000,1_0000_418,256,0,0
1_0000,1_0000_419,256,0,0
1_0000,1_0000_420,256,0,0
1_0000,1_0000_421,256,0,0
1_0000,1_0000_422,256,0,0
2_0000,2_0000_000,256,0,0
2_0000,2_0000_001,256,0,0
2_0000,2_0000_002,256,0,0
2_0000,2_0000_003,256,0,0
2_0000,2_0000_004,256,0,0
2_0000,2_0000_005,256,0,0
2_0000,2_0000_006,256,0,0
2_0000,2_0000_007,256,0,0
2_0000,2_0000_008,256,0,0
2_0000,2_0000_009,256,0,0
2_0000,2_0000_010,256,0,0
2_0000,2_0000_011,256,0,0
2_0000,2_0000_012,256,0,0
2_0000,2_0000_013,256,0,0
2_0000,2_0000_014,256,0,0
2_0000,2_0000_015,256,0,0
2_0000,2_0000_016,256,0,0
2_0000,2_0000_017,256,0,0
2_0000,2_0000_018,256,0,0
2_0000,2_0000_019,256,0,0
2_0000,2_0000_020,256,0,0
2_0000,2_0000_021,256,0,0
2_0000,2_0000_022,256,0,0
2_0000,2_0000_023,256,0,0
2_0000,2_0000_024,256,0,0
2_0000,2_0000_025,256,0,0
2_0000,2_0000_026,256,0,0
2_0000,2_0000_027,256,0,0
2_0000,2_0000_028,256,0,0
2_0000,2_0000_029,256,0,0
2_0000,2_0000_030,256,0,0
2_0000,2_0000_031,256,0,0
2_0000,2_0000_032,256,0,0
2_0000,2_0000_033,256,0,0
2_0000,2_0000_034,256,0,0
2_0000,2_0000_035,256,0,0
2_0000,2_0000_036,256,0,0
2_0000,2_0000_037,256,0,0
2_0000,2_0000_038,256,0,0
2_0000,2_0000_039,256,0,0
2_0000,2_0000_040,256,0,0
2_0000,2_0000_041,256,0,0
2_0000,2_0000_042,256,0,0
2_0000,2_0000_043,256,0,0
2_0000,2_0000_044,256,0,0
2_0000,2_0000_045,256,0,0
2_0000,2_0000_046,256,0,0
2_0000,2_0000_047,256,0,0
2_0000,2_0000_048,256,0,0
2_0000,2_0000_049,256,0,0
2_0000,2_0000_050,256,0,0
2_0000,2_0000_051,256,0,0
2_0000,2_0000_052,256,0,0
2_0000,2_0000_053,256,15,0
2_0000,2_0000_054,256,207,0
2_0000,2_0000_055,256,324,140
2_0000,2_0000_056,256,381,148
2_0000,2_0000_057,256,429,144
2_0000,2_0000_058,256,489,160
2_0000,2_0000_059,256,576,196
2_0000,2_0000_060,256,672,196
2_0000,2_0000_061,256,789,284
2_0000,2_0000_062,256,861,272
2_0000,2_0000_063,256,975,268
2_0000,2_0000_064,256,1059,288
2_0000,2_0000_065,256,1158,312
2_0000,2_0000_066,256,1254,356
2_0000,2_0000_067,256,1335,420
2_0000,2_0000_068,256,1443,440
2_0000,2_0000_069,256,1518,444
2_0000,2_0000_070,256,1581,540
2_0000,2_0000_071,256,1644,568
2_0000,2_0000_072,256,1731,632
2_0000,2_0000_073,256,1845,708
2_0000,2_0000_074,256,1932,756
2_0000,2_0000_075,256,1995,804
2_0000,2_0000_076,256,2064,828
2_0000,2_0000_077,256,2133,872
2_0000,2_0000_078,256,2220,916
2_0000,2_0000_079,256,2289,920
2_0000,2_0000_080,256,2409,980
2_0000,2_0000_081,256,2505,1032
2_0000,2_0000_082,256,2637,1120
2_0000,2_0000_083,256,2754,1160
2_0000,2_0000_084,256,2850,1228
2_0000,2_0000_085,256,2952,1264
2_0000,2_0000_086,256,3054,1288
2_0000,2_0000_087,256,3114,1300
2_0000,2_0000_088,256,3231,1348
2_0000,2_0000_089,256,3276,1388
2_0000,2_0000_090,256,3420,1404
2_0000,2_0000_091,256,3645,1508
2_0000,2_0000_092,256,3879,1620
2_0000,2_0000_093,256,4014,1572
2_0000,2_0000_094,256,4098,1628
2_0000,2_0000_095,256,4326,1668
2_0000,2_0000_096,256,4467,1676
2_0000,2_0000_097,256,4629,1732
2_0000,2_0000_098,256,4800,1856
2_0000,2_0000_099,256,4965,1904
2_0000,2_0000_100,256,5190,2036
