Image_ID,MedSAM Dice 50 manual,MedSAM Orig Dice Scores,Diffusion + Unet,Diffusion + Unet_noscale,"max(sclae,noS)",mask_area
286,,0.158130452,0.637123168,0.614178002,0.637123168,4467
287,,0.188013509,0.672178268,0.650459826,0.672178268,4814
288,,0.271373183,0.298811555,0.40839529,0.40839529,819
289,,0.257959366,0.638196111,0.514657438,0.638196111,6323
290,,0.150559738,0.467655778,0.454970747,0.467655778,3893
291,,0.093296066,0.383222103,0.502764046,0.502764046,1288
292,,0.353984267,0.513495743,0.499246091,0.513495743,1958
293,,0.180975899,0.64853698,0.614533007,0.64853698,5087
294,,0.46574074,0.399127603,0.434055716,0.434055716,840
295,,0.469993681,0.205518559,0.248009801,0.248009801,544
296,,0.170790851,0.688888907,0.679455638,0.688888907,6361
297,,0.313007385,0.752922416,0.742175281,0.752922416,8060
298,,0.166510522,0.488664985,0.593358397,0.593358397,2098
299,,0.042752225,0.342000008,0.406332463,0.406332463,1156
300,,0.059168976,0.257975042,0.201030925,0.257975042,1254
301,,0.06192787,0.358463734,0.344509482,0.358463734,1943
302,,0.44652909,0.297558218,0.30067113,0.30067113,4411
303,,0.246903881,0.668496907,0.657600284,0.668496907,3897
304,,0.088953018,0.470669419,0.485144496,0.485144496,2350
305,,0.166385114,0.594987869,0.609764636,0.609764636,3749
306,,0.28711319,0.427756667,0.556261659,0.556261659,1099
307,,0.054220963,0,0,0,1884
308,,0.150751993,0.668512642,0.602954865,0.668512642,4405
309,,0.434910119,0.838627696,0.830759466,0.838627696,9055
310,,0.138028651,0.165981919,0.192419827,0.192419827,1569
311,,0.442721307,0.799047351,0.789196074,0.799047351,15156
312,,0.280562848,0.662859678,0.702038348,0.702038348,10172
313,,0.210864782,0.370572209,0.289569646,0.370572209,3541
314,,0.277304381,0.574633837,0.692582905,0.692582905,8609
315,,0.188608587,0.597085953,0.545606256,0.597085953,5841
316,,0.09485279,0.404993057,0.476289093,0.476289093,1635
317,,0.168604836,0.580042481,0.569080889,0.580042481,3283
318,,0.598078549,0.529672623,0.591642141,0.591642141,26677
319,,0.063068524,0.477249742,0.43110919,0.477249742,1820
320,,0.241617084,0.511411965,0.528121114,0.528121114,5938
321,,0.107284218,0.59699893,0.660880983,0.660880983,3105
322,,0.201466933,0.586034894,0.508485973,0.586034894,3859
323,,0.398489147,0.241435558,0.445802212,0.445802212,4127
324,,0.285278201,0.767831504,0.763110518,0.767831504,8348
325,,0.124266535,0.268412441,0.235377699,0.268412441,1465
326,,0.400255352,0.774215341,0.767573118,0.774215341,6852
327,,0.572379351,0.132097334,0,0.132097334,372
328,,0.236128822,0.715581834,0.744524062,0.744524062,4654
