Image_ID,orig_covid_ms1.50 - fib score,orig_covid_ms1.50 - fib score manip,manip - fib
141,0.000971593,0.398308307,0.397336714
142,0.00784644,0.746819615,0.738973175
143,0.008782865,0.631014526,0.62223166
144,0.135659635,0.988180637,0.852521002
145,0.169726878,0.574750304,0.405023426
146,0.001103606,0.011097644,0.009994038
147,0.226517767,0.987442553,0.760924786
148,0.020698754,0.806603074,0.78590432
149,0.195297733,0.995619237,0.800321504
150,0.003183205,0.708230913,0.705047707
151,0.037395634,0.232889026,0.195493393
152,0.01796547,0.89847827,0.8805128
153,0.00553721,0.200203747,0.194666537
154,0.199185833,0.959369838,0.760184005
155,0.215917349,0.948012829,0.73209548
156,0.001706193,0.736898065,0.735191872
157,0.008535399,0.929690123,0.921154724
158,0.002770661,0.031254277,0.028483616
159,0.048393503,0.981799543,0.93340604
160,0.001468524,0.474939376,0.473470852
161,0.018540012,0.971391559,0.952851547
162,0.000495966,0.232568219,0.232072253
163,0.009638202,0.803974807,0.794336605
164,0.001901827,0.723608375,0.721706548
165,0.068146706,0.937277675,0.869130969
166,0.147713944,0.965450704,0.81773676
167,0.038455684,0.910646319,0.872190636
168,0.43166402,0.456331789,0.02466777
169,0.00195332,0.831562519,0.829609199
170,0.002780342,0.602948368,0.600168026
171,0.001890096,0.487603039,0.485712942
172,0.012084066,0.698915064,0.686830998
173,0.016920481,0.087034471,0.07011399
174,0.14931637,0.907908499,0.758592129
175,0.002580133,0.692690253,0.69011012
176,0.005502468,0.738434017,0.732931549
177,0.001149428,0.274968743,0.273819315
178,0.03107797,0.956512153,0.925434183
179,0.018384442,0.874413311,0.85602887
180,0.002361262,0.658975899,0.656614637
181,0.000394012,0.629427195,0.629033183
182,0.082865737,0.964167118,0.881301381
183,0.02247995,0.959869862,0.937389912
184,0.009508451,0.69526726,0.685758809
185,0.017354142,0.508224368,0.490870226
186,0.032057162,0.935230374,0.903173212
187,0.001308418,0.750328541,0.749020123
188,0.004260743,0.233971789,0.229711047
189,0.08513581,0.94448787,0.85935206
190,0.003096291,0.686034203,0.682937911
191,0.001868573,0.260802418,0.258933845
192,0.032432131,0.899341881,0.86690975
193,0.614438951,0.993312776,0.378873825
194,0.019061096,0.391445428,0.372384332
195,0.003441005,0.550898194,0.54745719
196,0.107420124,0.83697176,0.729551636
197,0.282491773,0.980508804,0.698017031
198,0.012882338,0.747988284,0.735105946
199,0.12893264,0.97425735,0.84532471
200,0.002299814,0.435645849,0.433346035
201,0.011223538,0.85301733,0.841793792
202,0.026699133,0.911825836,0.885126702
203,0.006401413,0.858176529,0.851775117
204,0.034514401,0.913556039,0.879041638
205,0.01636729,0.6158306,0.59946331
206,0.018915426,0.936703801,0.917788375
207,0.034221265,0.970786631,0.936565366
208,0.165634915,0.988358855,0.82272394
209,0.01237869,0.017697213,0.005318523
210,0.012006858,0.446516156,0.434509298
211,0.01149941,0.779408574,0.767909165
212,0.009801835,0.311917394,0.30211556
213,0.001741393,0.658438087,0.656696693
